"Description","Rooms","m_sq","Series","Price","Floor_nr","Max_floors","Hood","Street_a","Street"
"Ipasnieks pardod pec remonta 1-istabu dzivokli ar novietojumu At","1",30,"P. kara",33900,1,2,"Tornakalns","Vienibas g. 80","Vienibas"
"Jaunaja lietuviesu projekta pardod 2 istabu dzivokli. Maju apkal","2",50,"LT proj.",56500,1,5,"Imanta","Slokas 185","Slokas"
"Âûñîêàÿ ìàíñàðäà ñ ýêñêëþçèâíûì ðåìîíòîì è êàìèíîì â ðåíîâèðîâàí","3",68,"Renov.",250000,5,5,"Centrs","Kalnina 6","Kalnina"
"Saulains, gaiss, silts 1 istabas dzivoklis 9 stavu majas 9. stav","1",35,"602.",45000,9,9,"Plavnieki","Dravnieku 11","Dravnieku"
"Ïðîäà¸òñÿ ïðîñòîðíàÿ è ñâåòëàÿ è 3-õ êîìíàòíàÿ êâàðòèðà ñ îòëè÷í","3",60,"LT proj.",56000,4,5,"Ilguciems","Stures 7","Stures"
"Ïðîäà¸òñÿ äâóõêîìíàòíàÿ ñîëíå÷íàÿ, ñâåòëàÿ êâàðòèðà áåç ïîñðåäíè","2",44,"LT proj.",46500,5,5,"Jugla","Malienas 78","Malienas"
"Sakas rezervacija Miera ielas 87 renovetaja maja. Dzivoklis bus","2",54,"Jaun.",91630,1,3,"Centrs","Miera 87","Miera"
"Ïðîäà¸òñÿ 3-êîìíàòíàÿ êâàðòèðà â îäíîì èç ëó÷øèõ ñïåöïðîåêòîâ Ðè","3",75,"Specpr.",110000,14,16,"Imanta","Anninmuizas 28","Anninmuizas"
"Õîçÿèí ïðîäà¸ò óþòíóþ êâàðòèðó. Î÷åíü õîðîøåå ðàñïîëîæåíèå (ðÿäî","1",36,"602.",45000,6,9,"Plavnieki","Keldisa 12","Keldisa"
"Tiek pardots 3istabu dzivoklis laba stavokli - viena kopeja ista","3",65,"LT proj.",56652,5,5,"Imanta","Zentenes 11","Zentenes"
"Tiek pardots 1 istabu dzivoklis kapitali renoveta eka- Wielona n","1",25,"Renov.",39900,2,5,"Maskavas priekspilseta","Vilanu 14","Vilanu"
"Ïðîäàþ îäíîêîìíàòíóþ ïðèâàòèçèðîâàííóþ êâàðòèðó ñî âñåìè óäîáñòâ","1",30,"Hrusc.",37000,3,5,"Teika","Berzpils 7","Berzpils"
"Â ïðîäàæå ïðîñòîðíàÿ, ñâåòëÿ, òåïëàÿ, ÷åòûðåõêîìíàòíàÿ êâàðòèðà,","4",99,"119.",96500,1,10,"Zolitude","Biezina 9","Biezina"
"Kosmetiskais remonts. Ir stikla pakesu logi, jaunie radiatori, d","3",60,"LT proj.",49950,1,5,"Kengarags","Visku 7","Visku"
"Ipasnieks pardod divistabu dzivokli Brivibas iela ar lielu zalo","2",46,"Specpr.",61300,4,8,"Centrs","Brivibas 162/2","Brivibas"
"Bez starpnieka. 

Pardod Ipasnieks/õîçÿèí. 

Dzivoklis atrodas E","2",49,"P. kara",85750,5,5,"Centrs","Avotu 7","Avotu"
"Ïðîäàåòñÿ òèõàÿ, ïðîñòîðíàÿ, ñîëíå÷íàÿ êâàðòèðà 104 ñåðèè â Ïëÿâ","3",70,"104.",79800,6,12,"Plavnieki","Saharova 17","Saharova"
"Â ñåðåäèíå äîìà æèòü ìîæíî ñðàçó- â êâàðòèðå ÷èñòî è êîìôîðòíî.","2",51,"602.",54000,6,9,"Imanta","Kurzemes pr. 100","Kurzemes"
"Óñòü-Äâèíñê , öåíòðàëüíîå ìåñòî

Òðè èçîëèðîâàííûå êîìíàòû -18ì","3",66,"104.",59000,5,5,"Daugavgriva","Slimnicas 9","Slimnicas"
"Ïðîäà¸ì êâàðòèðó íà óëèöå Ðèòóïåñ 30, 6-ûé ýòàæ 9-òè ýòàæíîãî äî","3",60,"467.",70000,6,9,"Krasta"," Ritupes 30","Ritupes"
"Tiek pardots dzivoklis Rigas centra prestizaja vestniecibas rajo","3",95,"P. kara",175000,1,5,"Centrs","Dzirnavu 3","Dzirnavu"
"Õîçÿèí ïðîäà¸ò 4åõ êîìíàòíóþ êâàðòèðó, â ñïîêîéíîì, òèõîì ðàéîíå","4",79,"467.",75000,6,9,"Darzciems","Lubanas 56","Lubanas"
"Ýêñêëþçèâíàÿ ïîëíîñòüþ ìåáåëèðîâàííàÿ 2-õ êîìíàòíàÿ êâàðòèðà â ""","2",45,"Specpr.",67000,5,7,"Sarkandaugava","Hapsalas 1","Hapsalas"
"Pardodu 1 istabas dzivokli lieliska, klusa, zala rajona. 

2/5 s","1",40,"M. gim.",37000,2,5,"Darzciems","Sesku 7/1","Sesku"
"Pardod labu dzivokli kvalitativa maja:

- 3 istabas, 

- balkons","3",54,"LT proj.",48400,3,5,"Ilguciems","Lidonu 7","Lidonu"
"Dzivoklis ar divam izoletam istabam un zalo pagalmu aiz logiem.","2",44,"LT proj.",41000,1,5,"Kengarags","Maskavas 291/3","Maskavas"
"Õîçÿéêà ïðîäàåò 3õ êîìíàòíóþ êâàðòèðó â êîîïåðàòèâíîì äîìå õîðîø","3",61,"LT proj.",55000,4,5,"Kengarags","Salaspils 12/1","Salaspils"
"1/4 dala majas jeb 2 istabu, 48, 9m2 dzivoklis ar savu 637m2 zem","2",49,"P. kara",45000,2,2,"Bergi","Brivibas 445","Brivibas"
"Pardod cetristabu dzivokli jaunaja projekta pie Viesturdarza.","4",138,"Jaun.",350000,6,7,"Centrs","Rupniecibas 50","Rupniecibas"
"Pardod trisistabu dzivokli jaunaja projekta pie Viesturdarza.","3",80,"Jaun.",2e+05,4,7,"Centrs","Rupniecibas 50","Rupniecibas"
"Tiek pardots divistabu dzivoklis Riga. Dzivoklis atrodas 2. stav","2",37,"P. kara",32000,2,2,"Centrs","Bruninieku 149","Bruninieku"
"5 dzivokli maja ar savu zemi. Izdeviga iegade prieks investicija","Citi",200,"Priv. m.",255000,2,2,"Imanta","Jurmalas g. 46","Jurmalas"
"Tiek pardoti divi divistabu dzivokli Rigas centra. Dzivokli atro","4",110,"P. kara",195000,4,5,"Centrs","Bruninieku 79C","Bruninieku"
"Pardodu 3 istabu dzivokli. Atbrivota. Bez remonta. Ir nomainiti","3",63,"602.",60900,5,9,"Plavnieki","Saharova 3","Saharova"
"Kvalitativs, erts, ar logisku izkartojumu, lieliska stavokli, ek","4",122,"Jaun.",185000,4,5,"Purvciems","Stirnu 13","Stirnu"
"Pardodu 2 ist, dzivokli, bez remonta, var uz nomaksu piecsimt eu","2",35,"P. kara",15000,1,2,"Agenskalns","Kauguru 13","Kauguru"
"Àâòîðñêèé ïðîåêò - ñòèëü è ìíîãî âîçäóõà. 



Â òèõîì, èñòîðè÷åñ","2",65,"P. kara",123000,1,3,"Agenskalns","Smilga 1","Smilga"
"Pardodu 2 istabu dzivokli, Brezneva valdisanas laika celta, kieg","2",35,"Hrusc.",43000,5,5,"Agenskalns","Ernestines 8","Ernestines"
"Ipasnieks pardod 2 istabu dzivokli 47m2 jaunbuve. Lidz centram 1","2",47,"Jaun.",84000,5,11,"Purvciems","Dzelzavas 74","Dzelzavas"
"Pardodu vienistabas dzivokli Rusova iela 32. Zeme pieder ipasnie","1",39,"M. gim.",32000,3,5,"Ciekurkalns","Rusova 32","Rusova"
"Pardosana tiek piedavats vienistabas dzivoklis ar lielisku skatu","1",49,"104.",49000,9,12,"Purvciems","Virsu 4","Virsu"
"Mansarda dzivoklis ar terasi virs Vecrigas jumtiem. 

Labi pieme","3",116,"Renov.",215000,6,6,"Vecriga","Skarnu 9","Skarnu"
"Gatavs dzivosanai. Tiek pardots kvalitativi izremontets vienista","1",30,"Hrusc.",40000,3,5,"Purvciems","Raunas 45","Raunas"
"Pardod vienistabas dzivokli ar plasu virtuvi Ilguciema rajona.","1",33,"Jaun.",34500,3,3,"Ilguciems","Lidonu 6A","Lidonu"
"Pardod siltu un saulainu 2-istabu dzivokli. Zeme ir ipasuma. Dur","3",38,"Hrusc.",31800,5,3,"Sarkandaugava","Sarkandaugavas 26/3","Sarkandaugavas"
"Ñâåòëàÿ, òèõàÿ, òåïëàÿ êâàðòèðà. Êîìíàòû èçîëèðîâàííûå, îêíà ïëà","3",70,"104.",77000,3,12,"Purvciems","Brantkalna 17","Brantkalna"
"3-istabu dzivoklis Klusaja centra, Vilandes iela. 



Dzivoklis","3",78,"Renov.",180000,4,4,"Centrs","Vilandes 17","Vilandes"
"Òåïëàÿ, ñâåòëàÿ, ñóõàÿ êâàðòèðà. Çåìëÿ â ñîáñòâåííîñòè. 2 êîìíàò","3",60,"LT proj.",55000,4,5,"Kengarags","Maskavas 252/5","Maskavas"
